CourseID,PrerequisiteID
ANTH423,ANTH230
ANTH435,ANTH240
ANTH437,IB150
ANTH437,ANTH143
ANTH438,ANTH102
ANTH438,ANTH143
ANTH438,ANTH240
ANTH438,ANTH243
ANTH440,ANTH240
ANTH441,ANTH102
ANTH443,ANTH240
ANTH444,ANTH240
ANTH445,ANTH240
ANTH447,ANTH347
ANTH448,ANTH220
ANTH449,ANTH220
ANTH450,ANTH220
ANTH451,ANTH220
ANTH452,ANTH220
ANTH453,ANTH220
ANTH455,ANTH102
ANTH460,ANTH220
ANTH461,ANTH220
ANTH466,ANTH103
ANTH466,ANTH230
ANTH467,ANTH230
ANTH468,ANTH240
ANTH468,ANTH243
ANTH468,ANTH443
ANTH471,ANTH230
ANTH471,ANTH270
ANTH472,ANTH103
ANTH472,ANTH259
ANTH477,ANTH220
ANTH481,ANTH182
ANTH481,ANTH230
ANTH488,ANTH103
ANTH488,ANTH230
ANTH496,ANTH230
ANTH497,ANTH230
ANTH540,ANTH440
ANTH540,ANTH441
ANTH540,ANTH443
ANTH561,ANTH461
ARAB202,ARAB201
ARAB211,ARAB210
ARAB403,ARAB202
ARAB404,ARAB403
ARAB405,ARAB404
ARAB406,ARAB405
ARAB407,ARAB406
ARAB408,ARAB407
ARAB409,ARAB408
ARAB410,ARAB409
ARAB412,ARAB405
ARAB490,ARAB410
ARCH172,ARCH171
ARCH232,MATH220
ARCH232,MATH221
ARCH232,MATH231
ARCH232,PHYS101
ARCH273,ARCH172
ARCH274,ARCH273
ARCH371,ARCH274
ARCH372,ARCH371
ARCH402,ARCH210
ARCH403,ARCH210
ARCH409,ARCH210
ARCH410,ARCH210
ARCH410,ARTH111
ARCH410,CLCV131
ARCH411,ARCH210
ARCH411,ARTH111
ARCH411,CLCV131
ARCH411,CLCV132
ARCH412,ARCH210
ARCH412,ARTH111
ARCH414,ARCH210
ARCH414,ARTH112
ARCH415,ARCH210
ARCH415,ARTH112
ARCH416,ARCH210
ARCH416,ARTH112
ARCH417,ARCH210
ARCH417,ARTH112
ARCH418,ARCH210
ARCH433,ARCH232
ARCH435,ARCH231
ARCH435,ARCH232
ARCH435,ARCH433
ARCH471,ARCH231
ARCH473,ARCH372
ARCH474,ARCH473
ARCH511,ARCH410
ARCH511,ARCH411
ARCH512,ARCH411
ARCH512,ARCH412
ARCH513,ARCH414
ARCH516,ARCH415
ARCH516,ARCH416
ARCH516,ARCH417
ARCH518,ARCH419
ARCH519,ARCH419
ARCH522,ARCH321
ARCH522,ARCH521
ARCH525,ARCH321
ARCH525,ARCH521
ARCH536,ARCH232
ARCH536,ARCH433
ARCH537,ARCH434
ARCH538,ARCH536
ARCH538,ARCH537
ARCH550,ARCH433
ARCH552,ARCH551
ARCH553,ARCH550
ARCH553,ARCH551
ARCH553,ARCH560
ARCH554,ARCH560
ARCH555,ARCH553
ARCH556,ARCH553
ARCH556,ARCH554
ARCH557,ARCH551
ARCH557,ARCH536
ARCH560,ARCH551
ARCH574,ARCH536
ARCH575,ARCH536
ARCH575,ARCH537
ARCH577,ARCH517
ARCH598,LA505
ARCH598,ARCH563
ARCH598,LA563
ARTD202,ARTD201
ARTD228,ARTD202
ARTD301,ARTD202
ARTD302,ARTD301
ARTD318,ARTD218
ARTD333,ARTD222
ARTD371,ARTD333
ARTD401,ARTD302
ARTD402,ARTD401
ARTD418,ARTD318
ARTD444,ARTD333
ARTD452,ARTD222
ARTD452,ARTD318
ARTD471,ARTD371
ARTD502,ARTD501
ARTD503,ARTD502
ARTD504,ARTD503
ARTD505,ARTD504
ARTD506,ARTD505
ARTD511,ARTD510
ARTE301,ARTE202
ARTE303,ARTE304
ARTE304,ARTE202
ARTE400,ARTE301
ARTE400,ARTE303
ARTE400,ARTE304
ARTE401,EDPR438
ARTF105,ARTF103
ARTH361,ARTH242
ARTH361,ARTH361
ARTH550,ARTH350
ARTH550,ARTH351
ARTS250,ARTF102
ARTS250,ARTF104
ARTS250,ARTF106
ARTS265,ARTS264
ARTS266,ARTS265
ARTS267,ARTS264
ARTS310,ARTS210
ARTS351,ARTS252
ARTS352,ARTS251
ARTS354,ARTS251
ARTS355,ARTS245
ARTS364,ARTS265
ARTS365,ARTS264
ARTS381,ARTS280
ARTS400,ARTS200
ARTS405,ARTS205
ARTS410,ARTS210
ARTS443,ARTS243
ARTS444,ARTS244
ARTS455,ARTS354
ARTS465,ARTS355
ASRM210,MATH231
ASRM406,MATH241
ASRM406,ASRM210
ASRM406,FIN221
ASRM409,ASRM401
ASRM409,MATH461
ASRM410,ASRM402
ASRM441,ASRM401
ASRM441,STAT400
ASRM442,ASRM401
ASRM442,STAT400
ASRM442,ASRM441
ASRM442,ASRM450
ASRM454,ASRM441
ASRM454,ASRM450
ASRM455,ASRM401
ASRM455,STAT200
ASRM455,STAT361
ASRM461,ASRM401
ASRM461,STAT408
ASRM461,MATH461
ASRM461,STAT400
ASRM461,MATH463
ASRM461,ASRM402
ASRM462,ASRM401
ASRM462,STAT400
ASRM462,ASRM461
ASRM469,ASRM210
ASRM469,ASRM402
ASRM471,ASRM401
ASRM471,ASRM210
ASRM472,ASRM471
ASRM490,ASRM390
ASRM510,ASRM402
ASRM510,MATH464
ASRM533,ASRM401
ASRM533,MATH461
ASRM533,STAT400
ASRM555,ASRM455
ASRM561,ASRM401
ASRM561,MATH461
ASRM561,MATH463
ASRM569,ASRM401
ASRM575,ASRM471
ASTR210,PHYS211
ASTR310,PHYS211
ASTR310,MATH220
ASTR310,ASTR210
ASTR350,ASTR100
ASTR350,ASTR121
ASTR350,ASTR122
ASTR350,ASTR210
ASTR401,ASTR404
ASTR401,ASTR405
ASTR401,ASTR406
ASTR401,ASTR414
ASTR404,PHYS212
ASTR404,ASTR210
ASTR404,ASTR310
ASTR405,PHYS212
ASTR405,ASTR210
ASTR405,ASTR310
ASTR406,PHYS212
ASTR406,ASTR210
ASTR406,ASTR310
ASTR414,PHYS212
ASTR414,ASTR210
ASTR414,ASTR310
ASTR501,ASTR404
ASTR502,PHYS436
ASTR502,PHYS427
ASTR502,PHYS486
ASTR504,PHYS436
ASTR504,PHYS427
ASTR504,PHYS486
ASTR505,ASTR405
ASTR506,ASTR406
ASTR507,ASTR406
ATMS202,MATH220
ATMS202,MATH221
ATMS207,STAT107
ATMS301,ATMS201
ATMS301,MATH241
ATMS301,PHYS211
ATMS302,ATMS201
ATMS302,MATH241
ATMS302,PHYS211
ATMS303,MATH241
ATMS304,MATH241
ATMS304,PHYS212
ATMS305,MATH241
ATMS306,ATMS301
ATMS307,ATMS201
ATMS312,ATMS301
ATMS312,ATMS302
ATMS313,ATMS303
ATMS314,ATMS301
ATMS314,ATMS302
ATMS314,ATMS303
ATMS315,ATMS201
ATMS324,ATMS201
ATMS380,ATMS303
ATMS391,ATMS201
ATMS402,ATMS301
ATMS402,ATMS302
